transaction_id,date,amount,transaction_type,payment_method,category,description
URB-0001,2026-01-02,23333,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #1
URB-0002,2026-01-04,22883,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #2
URB-0003,2026-01-06,24533,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #3
URB-0004,2026-01-08,21983,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #4
URB-0005,2026-01-10,25733,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #5
URB-0006,2026-01-12,21083,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #6
URB-0007,2026-01-14,26933,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #7
URB-0008,2026-01-16,20183,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #8
URB-0009,2026-01-18,28133,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #9
URB-0010,2026-01-20,19283,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #10
URB-0011,2026-01-22,29333,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #11
URB-0012,2026-01-24,18383,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #12
URB-0013,2026-01-04,50000,debit,Bank Transfer,Inventory Purchase,Kitchen operations: Inventory Purchase
URB-0014,2026-01-10,50000,debit,Bank Transfer,Staff Payroll,Kitchen operations: Staff Payroll
URB-0015,2026-01-16,50000,debit,UPI,Rent & Utilities,Kitchen operations: Rent & Utilities
URB-0016,2026-01-22,50000,debit,UPI,Operational Expenses,Kitchen operations: Operational Expenses
URB-0017,2026-02-02,25833,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #17
URB-0018,2026-02-04,25383,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #18
URB-0019,2026-02-06,27033,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #19
URB-0020,2026-02-08,24483,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #20
URB-0021,2026-02-10,28233,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #21
URB-0022,2026-02-12,23583,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #22
URB-0023,2026-02-14,29433,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #23
URB-0024,2026-02-16,22683,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #24
URB-0025,2026-02-18,30633,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #25
URB-0026,2026-02-20,21783,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #26
URB-0027,2026-02-22,31833,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #27
URB-0028,2026-02-24,20883,credit,UPI,Sales Revenue,Cloud kitchen delivery order payout via aggregator #28
URB-0029,2026-02-04,55000,debit,Bank Transfer,Inventory Purchase,Kitchen operations: Inventory Purchase
URB-0030,2026-02-10,55000,debit,Bank Transfer,Staff Payroll,Kitchen operations: Staff Payroll
URB-0031,2026-02-16,55000,debit,UPI,Rent & Utilities,Kitchen operations: Rent & Utilities
URB-0032,2026-02-22,55000,debit,UPI,Operational Expenses,Kitchen operations: Operational Expenses
