transaction_id,date,amount,transaction_type,payment_method,category,description
SHREE-0001,2026-01-03,44500,credit,UPI,Sales Revenue,Daily store sales and customer collections #1
SHREE-0002,2026-01-05,43880,credit,UPI,Sales Revenue,Daily store sales and customer collections #2
SHREE-0003,2026-01-07,46200,credit,UPI,Sales Revenue,Daily store sales and customer collections #3
SHREE-0004,2026-01-09,42640,credit,UPI,Sales Revenue,Daily store sales and customer collections #4
SHREE-0005,2026-01-11,47900,credit,UPI,Sales Revenue,Daily store sales and customer collections #5
SHREE-0006,2026-01-13,41400,credit,UPI,Sales Revenue,Daily store sales and customer collections #6
SHREE-0007,2026-01-15,49600,credit,UPI,Sales Revenue,Daily store sales and customer collections #7
SHREE-0008,2026-01-17,40160,credit,Bank Transfer,Sales Revenue,Daily store sales and customer collections #8
SHREE-0009,2026-01-19,51300,credit,Bank Transfer,Sales Revenue,Daily store sales and customer collections #9
SHREE-0010,2026-01-21,38920,credit,Cash,Sales Revenue,Daily store sales and customer collections #10
SHREE-0011,2026-01-04,68000,debit,Bank Transfer,Inventory Purchase,Operational disbursement: Inventory Purchase
SHREE-0012,2026-01-09,67100,debit,Bank Transfer,Staff Payroll,Operational disbursement: Staff Payroll
SHREE-0013,2026-01-14,70400,debit,Bank Transfer,Rent & Utilities,Operational disbursement: Rent & Utilities
SHREE-0014,2026-01-19,65300,debit,UPI,Supplier Settlement,Operational disbursement: Supplier Settlement
SHREE-0015,2026-01-24,72800,debit,Cash,Operational Expenses,Operational disbursement: Operational Expenses
SHREE-0016,2026-02-03,43200,credit,UPI,Sales Revenue,Daily store sales and customer collections #16
SHREE-0017,2026-02-05,42580,credit,UPI,Sales Revenue,Daily store sales and customer collections #17
SHREE-0018,2026-02-07,44900,credit,UPI,Sales Revenue,Daily store sales and customer collections #18
SHREE-0019,2026-02-09,41340,credit,UPI,Sales Revenue,Daily store sales and customer collections #19
SHREE-0020,2026-02-11,46600,credit,UPI,Sales Revenue,Daily store sales and customer collections #20
SHREE-0021,2026-02-13,40100,credit,UPI,Sales Revenue,Daily store sales and customer collections #21
SHREE-0022,2026-02-15,48300,credit,UPI,Sales Revenue,Daily store sales and customer collections #22
SHREE-0023,2026-02-17,38860,credit,Bank Transfer,Sales Revenue,Daily store sales and customer collections #23
SHREE-0024,2026-02-19,50000,credit,Bank Transfer,Sales Revenue,Daily store sales and customer collections #24
SHREE-0025,2026-02-21,37620,credit,Cash,Sales Revenue,Daily store sales and customer collections #25
