transaction_id,date,amount,transaction_type,category,payment_method,description
TXN-001,2024-01-05,45200,credit,Sales Revenue,UPI,Retail sales - UPI collections
TXN-002,2024-01-08,28500,credit,Sales Revenue,Bank Transfer,Wholesale order payment
TXN-003,2024-01-10,12000,debit,Inventory Purchase,Bank Transfer,Stock replenishment - vegetables & FMCG
TXN-004,2024-01-12,38700,credit,Sales Revenue,UPI,Weekend retail sales
TXN-005,2024-01-15,8500,debit,Rent & Utilities,Bank Transfer,Monthly shop rent
TXN-006,2024-01-18,32100,credit,Customer Inflow,UPI,Customer advance payments
TXN-007,2024-01-20,15000,debit,Staff Payroll,Bank Transfer,Part-time staff wages
TXN-008,2024-01-22,41000,credit,Sales Revenue,UPI,Bulk order - local restaurant supply
TXN-009,2024-01-25,9800,debit,Operational Expenses,Cash,Miscellaneous operational expenses
TXN-010,2024-01-28,35600,credit,Sales Revenue,UPI,Month-end collections
TXN-011,2024-01-30,6200,debit,Equipment Repair,Cash,Equipment maintenance
TXN-012,2024-02-02,47300,credit,Sales Revenue,UPI,Feb opening sales
TXN-013,2024-02-05,31500,credit,Bulk Order Advance,Bank Transfer,Corporate canteen advance
TXN-014,2024-02-08,18000,debit,Inventory Purchase,Bank Transfer,Fresh stock - dairy & staples
TXN-015,2024-02-10,29800,credit,Sales Revenue,UPI,Regular retail collections
TXN-016,2024-02-12,8500,debit,Rent & Utilities,Bank Transfer,Monthly shop rent
TXN-017,2024-02-15,43200,credit,Customer Inflow,UPI,Valentine week spike - gifting items
TXN-018,2024-02-18,22000,debit,Supplier Settlement,Bank Transfer,Supplier dues - FMCG brands
TXN-019,2024-02-20,38400,credit,Sales Revenue,UPI,Regular weekend sales
TXN-020,2024-02-22,14000,debit,Staff Payroll,Bank Transfer,Monthly wages
TXN-021,2024-02-25,52000,credit,Sales Revenue,UPI,Month-end high-volume sales
TXN-022,2024-02-28,7100,debit,Operational Expenses,Cash,Packing materials & sundries
TXN-023,2024-03-03,44800,credit,Sales Revenue,UPI,March opening collections
TXN-024,2024-03-06,33000,credit,Bulk Order Advance,Bank Transfer,Bulk order - catering service
TXN-025,2024-03-08,21500,debit,Inventory Purchase,Bank Transfer,Stock replenishment
TXN-026,2024-03-10,41700,credit,Sales Revenue,UPI,Regular sales
TXN-027,2024-03-12,8500,debit,Rent & Utilities,Bank Transfer,Monthly shop rent
TXN-028,2024-03-15,68000,credit,Sales Revenue,UPI,Holi festival spike - confectionery & beverages
TXN-029,2024-03-18,28000,debit,Inventory Purchase,Bank Transfer,Festival stock purchase
TXN-030,2024-03-20,55200,credit,Customer Inflow,UPI,Post-festival collections
TXN-031,2024-03-22,14000,debit,Staff Payroll,Bank Transfer,Monthly wages
TXN-032,2024-03-25,48900,credit,Sales Revenue,UPI,End of month collections
TXN-033,2024-03-28,9500,debit,Supplier Settlement,Cash,Local supplier payment
TXN-034,2024-04-02,41200,credit,Sales Revenue,UPI,April opening sales
TXN-035,2024-04-05,25000,credit,Delivery Payouts,Bank Transfer,Delivery app collections
TXN-036,2024-04-08,16500,debit,Inventory Purchase,Bank Transfer,Regular stock replenishment
TXN-037,2024-04-10,36800,credit,Sales Revenue,UPI,Regular retail sales
TXN-038,2024-04-12,8500,debit,Rent & Utilities,Bank Transfer,Monthly shop rent
TXN-039,2024-04-15,29400,credit,Sales Revenue,UPI,Mid-month collections
TXN-040,2024-04-18,11000,debit,Operational Expenses,Bank Transfer,Delivery packaging & labels
TXN-041,2024-04-20,44500,credit,Customer Inflow,UPI,Weekend collections
TXN-042,2024-04-22,14000,debit,Staff Payroll,Bank Transfer,Monthly wages
TXN-043,2024-04-25,38900,credit,Sales Revenue,UPI,Ramzan period collections
TXN-044,2024-04-28,8200,debit,Supplier Settlement,Cash,Sundry supplier payment
TXN-045,2024-05-02,43600,credit,Sales Revenue,UPI,May opening sales
TXN-046,2024-05-05,32000,credit,Bulk Order Advance,Bank Transfer,Bulk corporate order
TXN-047,2024-05-08,19000,debit,Inventory Purchase,Bank Transfer,Stock replenishment
TXN-048,2024-05-10,37200,credit,Sales Revenue,UPI,Regular retail collections
TXN-049,2024-05-12,8500,debit,Rent & Utilities,Bank Transfer,Monthly shop rent
TXN-050,2024-05-15,28900,credit,Customer Inflow,UPI,Mid-month collections
